North,East,South,West,Country
42.361401,23.031389,40.857021,20.46249,Macedonia
-11.94778,50.499439,-25.600281,43.2211,Madagascar
-9.373335,35.92416,-17.135811,32.689701,Malawi
7.356666,119.275803,0.853333,99.646927,Malaysia
7.0964,73.753601,-0.6908,72.683601,Maldives
25.000271,4.2525,10.14194,-12.24575,Mali
36.075001,14.57,35.799999,14.1808,Malta
14.88028,-60.810009,14.40305,-61.22945,Martinique
27.280199,-4.806389,14.72555,-17.05435,Mauritania
-20.00112,57.78582,-20.50584,57.306381,Mauritius
32.718319,-86.74501,14.54808,-117.123596,Mexico
48.486698,30.134199,45.4482,26.635,Moldova
52.14201,119.928001,41.581379,87.759407,Mongolia
43.556099,20.382799,41.849319,18.4533,Montenegro
35.915272,-1.010556,27.665079,-13.176931,Morocco
-10.48045,40.839161,-26.860279,30.21277,Mozambique
28.54694,101.161598,9.985552,92.193298,Myanmar
-16.968889,25.265751,-28.960831,11.73333,Namibia
30.41971,88.195801,26.347771,80.055801,Nepal
53.509299,7.209444,50.756069,3.363889,Netherlands
12.863099,-68.499046,12.033213,-70.284912,Netherlands Antilles
-20.087231,168.146103,-22.39473,163.992203,New Caledonia
-33.069679,178.559693,-50.85445,165.566357,New Zealand
15.02472,-83.130867,10.70972,-87.690292,Nicaragua
23.52232,15.99666,11.69169,0.166667,Niger
13.89313,14.67416,4.281943,2.682129,Nigeria
13.63472,144.953293,13.2375,144.623001,Northern Mariana Islands
80.513313,33.624989,57.996101,-9.120001,Norway
25.039221,59.836101,16.64386,51.904148,Oman
37.062759,77.831413,23.688049,60.866871,Pakistan
9.620277,-77.146668,7.205832,-83.031677,Panama
-1.950556,153.776306,-11.62028,140.849899,Papua New Guinea
-19.296671,-54.243061,-27.586121,-62.63866,Paraguay
-0.0375,-68.6875,-18.34799,-81.3564,Peru
18.647499,126.598,5.051388,117.1744,Philippines
54.836651,24.14471,49.006351,14.13333,Poland
42.15221,-6.194444,32.637489,-28.54945,Portugal
18.511391,-65.625839,17.928049,-67.25917,Puerto Rico
26.152769,51.61166,24.55559,50.752491,Qatar
-20.86556,55.85138,-21.373619,55.221371,Reunion
48.253319,29.701111,43.624699,20.261141,Romania
26.970313,41.196098,180,83.271366,Russian Fed.
-1.061622,30.876381,-2.826667,28.853319,Rwanda
-15.892676,-5.643567,-16.021259,-5.793568,Saint Helena
-13.46056,-171.436707,-14.05306,-172.774994,Samoa
43.988895,12.508419,43.894595,12.405131,San Marino
1.7019,7.4642,0.02,6.464999,Sao Tome And Principe
32.237339,56.51305,15.10555,34.603039,Saudi Arabia
16.69305,-11.35833,12.30139,-17.52,Senegal
46.174992,23.006941,42.232201,18.8281,Serbia
-4.28,55.792801,-4.7892,55.374699,Seychelles
9.997496,-10.26652,6.913198,-13.298431,Sierra Leone
1.425287,103.998001,1.259722,103.648002,Singapore
49.605259,22.558001,47.740822,16.84083,Slovakia
46.872479,16.60924,45.425598,13.38305,Slovenia
-5.018613,162.386597,-11.84584,154.5336,Solomon Islands
12.71278,54.5336,-1.674361,40.986309,Somalia
-22.13611,32.893089,-34.814999,16.469721,South Africa
-54.00333,-35.782791,-54.889721,-38.0289,South Georgia and the South Sandwich Isl
43.774429,4.336666,27.73472,-17.99501,Spain
9.826109,81.890533,5.943609,79.698303,Sri Lanka
17.410801,-62.534199,17.0917,-62.863899,St Kitts Nevis
14.10472,-60.892231,13.71778,-61.079731,St Lucia
13.3842,-61.1203,12.57705,-61.459309,St Vincent and the Grenadines
23.128,38.621319,3.49214,21.828251,Sudan
5.997499,-53.98444,1.849444,-58.071671,Suriname
-25.72834,32.13422,-27.31667,30.80222,Swaziland
69.063141,24.16707,55.001099,11.10694,Sweden
47.80637,10.48861,45.823879,5.965833,Switzerland
37.322182,42.373852,32.313599,35.590542,Syria
25.284161,121.999199,21.903049,120.053299,Taiwan
41.050301,75.18747,36.672211,67.3647,Tajikistan
-0.997581,40.45332,-11.72695,29.59055,Tanzania
20.455271,105.634399,5.631942,97.34581,Thailand
11.13927,1.799956,6.099102,-0.150955,Togo
-18.5681,-173.906097,-21.454201,-175.360596,Tonga
10.83861,-60.928341,10.03805,-61.92445,Trinidad And Tobago
37.338039,11.58333,30.236059,7.491666,Tunisia
42.107208,44.82193,35.821659,26.03331,Turkey
42.797798,66.672501,35.145538,52.443321,Turkmenistan
21.332491,-73.002792,20.91527,-73.706124,Turks and Caicos Islands
-7.568621,179.383103,-8.128861,178.842178,Tuvalu
4.22176,35.026089,-1.464444,29.578329,Uganda
52.3797,40.179699,44.39526,22.151449,Ukraine
26.083599,56.37582,22.057159,50.826099,United Arab Emirates
60.6311,1.7425,49.955269,-8.164723,United Kingdom
71.406647,-48.466812,18.536892,-178.214203,United States
-30.100559,-53.095001,-34.977779,-58.438621,Uruguay
45.57066,73.172997,37.185261,55.9972,Uzbekistan
-10.67167,169.483902,-19.64028,165.777496,Vanuatu
12.19528,-59.801392,0.649722,-73.383903,Venezuela
23.37582,109.459099,8.574163,102.140503,Viet Nam
27.66885,-8.667223,20.770069,-17.07361,Western Sahara
18.99888,53.078251,12.59972,42.61388,Yemen
-8.220806,33.693039,-18.075279,21.998329,Zambia
-15.61611,33.07304,-22.41614,25.23666,Zimbabwe
